GT\Pred,0:Powder,1:Printed,2:Recoater Disturbance,3:Swelling,4:Spatter,5:Super-Elevation,6:Over Melting,7:Debris
0:Powder,3160932173,14166258,14676671,4283,61420923,0,0,3
1:Printed,92623,165186790,1567,316603,45019,0,0,0
2:Recoater Disturbance,145366,3279,1155673,28,1833,0,0,0
3:Swelling,75,512204,40,343048,72,0,0,0
4:Spatter,290160,12152,1706,5,29154424,0,0,0
5:Super-Elevation,0,0,0,2,0,0,0,0
6:Over Melting,0,0,0,0,0,0,0,0
7:Debris,0,0,0,0,0,0,0,0
