class,name,support_px,IoU,precision,recall,top_confused_with,confused_frac
0,Powder,12081878622,0.9193,0.9997,0.9196,2:Recoater Disturbance,0.0459
1,Printed,538975491,0.8937,0.9072,0.9835,4:Spatter,0.0078
2,Recoater Disturbance,185865031,0.2444,0.2459,0.9755,0:Powder,0.0157
3,Swelling,9102849,0.5120,0.6277,0.7354,1:Printed,0.2572
4,Spatter,637969504,0.6243,0.6281,0.9905,1:Printed,0.0070
5,Super-Elevation,267916,0.9128,0.9309,0.9791,1:Printed,0.0116
6,Over Melting,394097,0.4715,0.5551,0.7579,4:Spatter,0.1396
7,Debris,1757892,0.5658,0.6014,0.9055,1:Printed,0.0884
