GT\Pred,0:Powder,1:Printed,2:Recoater Disturbance,3:Swelling,4:Spatter,5:Super-Elevation,6:Over Melting,7:Debris
0:Powder,13501014,141467,1199666,811,48004,16998,5,699
1:Printed,330474,180638,33669,1763,529847,46,0,2336
2:Recoater Disturbance,1094291,6021,321047,300,3462,149,0,5
3:Swelling,204,6041,399,175,1595,43,211,10
4:Spatter,0,0,0,0,0,0,0,0
5:Super-Elevation,0,0,0,0,0,0,0,0
6:Over Melting,0,0,0,0,0,0,0,0
7:Debris,7160,1532,290,14,3520,313,97,8
